Species,Family,Order,DR,Insularity,MigratoryBehavior,DietBreadth,HabitatBreadth,BodySize,BrainSize,BrainSampleSize,RelativeBrainSize,BrainSD,BrainReference
Hippolais_icterina,Sylviidae,PASSERIFORMES,0.131,continental,migrant,0.063,3.393,14.6,0.47,10,0.034,0.065,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Hirundapus_caudacutus,Apodidae,APODIFORMES,0.058,continental,migrant,0,3.436,95.5,1.29,10,-0.009,0.048,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Hirundo_ariel,Hirundinidae,PASSERIFORMES,0.144,continental,resident,0,4.185,10.85,0.36,4,-0.066,0.081,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Hirundo_neoxena,Hirundinidae,PASSERIFORMES,0.212,continental,migrant,0,3.593,13.3,0.48,10,0.108,0.098,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Hirundo_nigricans,Hirundinidae,PASSERIFORMES,0.153,continental,migrant,0,4.047,15.4,0.52,5,0.105,0.073,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Hirundo_rustica,Hirundinidae,PASSERIFORMES,0.311,continental,migrant,0.024,5.812,19.3,0.55,10,0.035,0.048,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Histrionicus_histrionicus,Anatidae,ANSERIFORMES,0.139,continental,migrant,0.005,3.735,573.65,4.86,5,0.312,0.06,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Hydrophasianus_chirurgus,Jacanidae,CHARADRIIFORMES,0.036,continental,migrant,NA,2.024,163.5,1.4,7,-0.229,0.039,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Hylacola_cauta,Acanthizidae,PASSERIFORMES,0.088,continental,resident,0.175,2.193,14.4,0.805,1,0.58,0.071,"Franklin, D. C., Garnett, S. T., Luck, G. W., Gutierrez-Ibanez, C., & Iwaniuk, A. N. (2014). Relative brain size in Australian birds. Emu-Austral Ornithology, 114(2), 160-170."
Hylacola_pyrrhopygia,Acanthizidae,PASSERIFORMES,0.088,continental,resident,0.175,4.429,19.9,1.03,1,0.645,0.071,"Sayol, F., Downing, P. A., Iwaniuk, A. N., Maspons, J., & Sol, D. 2018. Predictable evolution towards larger brains in birds colonizing oceanic islands. Nature communications, 9(1), 2820."
Hylocichla_mustelina,Turdidae,PASSERIFORMES,0.089,continental,migrant,0.071,2.351,50.15,1.25,10,0.32,0.078,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Hylophylax_naevius,Thamnophilidae,PASSERIFORMES,0.132,continental,resident,0,1.782,14.2,0.59,4,0.277,0.032,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Hymenops_perspicillatus,Tyrannidae,PASSERIFORMES,0.094,continental,migrant,0,5.578,23.13,0.76,4,0.257,0.064,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Hypocnemis_cantator,Thamnophilidae,PASSERIFORMES,0.154,continental,resident,0,2.798,12.3,0.63,6,0.423,0.083,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
Hypothymis_azurea,Monarchidae,PASSERIFORMES,0.121,continental,resident,0,3.355,12.95,0.52,9,0.203,0.069,"Iwaniuk, A. N., & Nelson, J. E. (2003). Developmental differences are correlated with relative brain size in birds: a comparative analysis. Canadian Journal of Zoology, 81(12), 1913-1928."
